
============================================================
Running Example: aronsson_disc
============================================================

Generated full disc domain data:
  Boundary points: 10,000
  Interior points: 783,764
  Test points: 7,668
Re-sampling enabled: ~783,764 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 8,000 train, 2,000 val
  Interior: 627,011 train, 156,753 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 17,025

Training configuration:
  Boundary points (train): 8,000 -> 20 batches of 400
  Interior points (train): 783,764 -> 784 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 2,000
  Validation loss: BC only
  Steps per epoch: 784
  Total steps: 78,400
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  71/100 | Steps:  55664 | α=1e-01 | Loss: 3.4257e-04 | BC: 1.2856e-05 | PDE: 3.2971e-03 | Val: 8.6754e-06 | Test: 5.7034e-06 | LR=2.1e-04
Epoch  72/100 | Steps:  56448 | α=1e-01 | Loss: 3.3586e-04 | BC: 1.1885e-05 | PDE: 3.2398e-03 | Val: 2.9944e-05 | Test: 2.4855e-05 | LR=2.0e-04
Epoch  73/100 | Steps:  57232 | α=1e-01 | Loss: 3.1294e-04 | BC: 1.1308e-05 | PDE: 3.0163e-03 | Val: 1.8204e-05 | Test: 1.0621e-05 | LR=1.9e-04
Epoch  74/100 | Steps:  58016 | α=1e-01 | Loss: 3.0811e-04 | BC: 9.3721e-06 | PDE: 2.9874e-03 | Val: 2.6304e-06 | Test: 4.2283e-06 | LR=1.8e-04
Epoch  75/100 | Steps:  58800 | α=1e-01 | Loss: 2.9018e-04 | BC: 7.9156e-06 | PDE: 2.8227e-03 | Val: 5.5350e-06 | Test: 3.9553e-06 | LR=1.7e-04
Epoch  76/100 | Steps:  59584 | α=1e-01 | Loss: 2.9143e-04 | BC: 1.0226e-05 | PDE: 2.8120e-03 | Val: 4.9366e-06 | Test: 6.8796e-06 | LR=1.5e-04
Epoch  77/100 | Steps:  60368 | α=1e-01 | Loss: 2.7335e-04 | BC: 7.6025e-06 | PDE: 2.6575e-03 | Val: 2.4050e-06 | Test: 4.9596e-06 | LR=1.4e-04
Epoch  78/100 | Steps:  61152 | α=1e-01 | Loss: 2.6669e-04 | BC: 6.5954e-06 | PDE: 2.6010e-03 | Val: 4.3220e-06 | Test: 3.8395e-06 | LR=1.3e-04
Epoch  79/100 | Steps:  61936 | α=1e-01 | Loss: 2.6778e-04 | BC: 6.6788e-06 | PDE: 2.6110e-03 | Val: 1.9292e-06 | Test: 1.8465e-06 | LR=1.2e-04
Epoch  80/100 | Steps:  62720 | α=1e-01 | Loss: 2.5886e-04 | BC: 6.1018e-06 | PDE: 2.5275e-03 | Val: 4.2311e-06 | Test: 5.4125e-06 | LR=1.1e-04
Epoch  81/100 | Steps:  63504 | α=1e-01 | Loss: 2.5584e-04 | BC: 5.8748e-06 | PDE: 2.4997e-03 | Val: 5.3615e-06 | Test: 4.0373e-06 | LR=1.0e-04
Epoch  82/100 | Steps:  64288 | α=1e-01 | Loss: 2.5055e-04 | BC: 4.6331e-06 | PDE: 2.4592e-03 | Val: 1.9796e-06 | Test: 1.8885e-06 | LR=9.6e-05
Epoch  83/100 | Steps:  65072 | α=1e-01 | Loss: 2.3572e-04 | BC: 4.1913e-06 | PDE: 2.3153e-03 | Val: 2.4894e-06 | Test: 3.1288e-06 | LR=8.7e-05
Epoch  84/100 | Steps:  65856 | α=1e-01 | Loss: 2.3502e-04 | BC: 5.4484e-06 | PDE: 2.2957e-03 | Val: 1.4472e-05 | Test: 1.1281e-05 | LR=7.9e-05
Epoch  85/100 | Steps:  66640 | α=1e-01 | Loss: 2.3657e-04 | BC: 3.5724e-06 | PDE: 2.3300e-03 | Val: 1.4645e-06 | Test: 1.6982e-06 | LR=7.1e-05 *
Epoch  86/100 | Steps:  67424 | α=1e-01 | Loss: 2.3202e-04 | BC: 4.0696e-06 | PDE: 2.2795e-03 | Val: 1.6606e-06 | Test: 1.8623e-06 | LR=6.4e-05
Epoch  87/100 | Steps:  68208 | α=1e-01 | Loss: 2.2123e-04 | BC: 3.1061e-06 | PDE: 2.1812e-03 | Val: 1.4977e-06 | Test: 1.6402e-06 | LR=5.7e-05
Epoch  88/100 | Steps:  68992 | α=1e-01 | Loss: 2.2335e-04 | BC: 3.1336e-06 | PDE: 2.2021e-03 | Val: 3.1193e-06 | Test: 2.0617e-06 | LR=5.1e-05
Epoch  89/100 | Steps:  69776 | α=1e-01 | Loss: 2.1801e-04 | BC: 3.2395e-06 | PDE: 2.1477e-03 | Val: 3.2241e-06 | Test: 2.2475e-06 | LR=4.5e-05
Epoch  90/100 | Steps:  70560 | α=1e-01 | Loss: 2.2226e-04 | BC: 2.3176e-06 | PDE: 2.1994e-03 | Val: 2.1585e-06 | Test: 2.1669e-06 | LR=3.9e-05
