
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: DomainDecompositionPINN
  Hidden layers: [16, 16, 16, 16]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 3,524

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  53/100 | Steps:  53000 | α=1e-01 | Loss: 4.9485e-05 | BC: 2.0461e-05 | PDE: 5.2618e-05 | Intf: 2.3763e-05 | Val: 2.1211e-04 | Test: 1.9781e-04 | LR=4.7e-04
Epoch  54/100 | Steps:  54000 | α=1e-01 | Loss: 5.8445e-05 | BC: 2.5085e-05 | PDE: 4.9364e-05 | Intf: 2.8424e-05 | Val: 4.1670e-04 | Test: 3.8053e-04 | LR=4.6e-04
Epoch  55/100 | Steps:  55000 | α=1e-01 | Loss: 6.3359e-05 | BC: 2.6960e-05 | PDE: 4.8217e-05 | Intf: 3.1577e-05 | Val: 4.6294e-05 | Test: 5.3187e-05 | LR=4.4e-04
Epoch  56/100 | Steps:  56000 | α=1e-01 | Loss: 4.4396e-05 | BC: 1.8372e-05 | PDE: 4.4321e-05 | Intf: 2.1591e-05 | Val: 8.3679e-07 | Test: 1.6386e-05 | LR=4.3e-04
Epoch  57/100 | Steps:  57000 | α=1e-01 | Loss: 4.1760e-05 | BC: 1.7473e-05 | PDE: 4.0819e-05 | Intf: 2.0206e-05 | Val: 1.2973e-06 | Test: 1.6569e-05 | LR=4.1e-04
Epoch  58/100 | Steps:  58000 | α=1e-01 | Loss: 4.3485e-05 | BC: 1.8366e-05 | PDE: 3.9081e-05 | Intf: 2.1211e-05 | Val: 1.9299e-04 | Test: 1.8038e-04 | LR=4.0e-04
Epoch  59/100 | Steps:  59000 | α=1e-01 | Loss: 3.9807e-05 | BC: 1.6410e-05 | PDE: 3.7404e-05 | Intf: 1.9657e-05 | Val: 6.8398e-07 | Test: 1.5498e-05 | LR=3.8e-04 *
Epoch  60/100 | Steps:  60000 | α=1e-01 | Loss: 3.7272e-05 | BC: 1.5657e-05 | PDE: 3.4056e-05 | Intf: 1.8209e-05 | Val: 7.2205e-05 | Test: 7.9407e-05 | LR=3.7e-04
Epoch  61/100 | Steps:  61000 | α=1e-01 | Loss: 2.8017e-05 | BC: 1.1374e-05 | PDE: 3.2517e-05 | Intf: 1.3391e-05 | Val: 5.7921e-06 | Test: 1.7074e-05 | LR=3.5e-04
Epoch  62/100 | Steps:  62000 | α=1e-01 | Loss: 3.2116e-05 | BC: 1.3294e-05 | PDE: 3.0822e-05 | Intf: 1.5740e-05 | Val: 2.4763e-05 | Test: 3.2976e-05 | LR=3.4e-04
Epoch  63/100 | Steps:  63000 | α=1e-01 | Loss: 2.8346e-05 | BC: 1.1617e-05 | PDE: 2.9112e-05 | Intf: 1.3817e-05 | Val: 8.1036e-05 | Test: 8.1001e-05 | LR=3.2e-04
Epoch  64/100 | Steps:  64000 | α=1e-01 | Loss: 2.4353e-05 | BC: 1.0000e-05 | PDE: 2.7071e-05 | Intf: 1.1646e-05 | Val: 1.4345e-06 | Test: 1.3576e-05 | LR=3.1e-04
