
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: FixedAlphaSchedule
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  53/100 | Steps:  53000 | α=1e-01 | Loss: 6.3995e-05 | BC: 2.1953e-05 | PDE: 4.2043e-04 | Val: 1.3620e-05 | Test: 7.9381e-04 | LR=4.7e-04
Epoch  54/100 | Steps:  54000 | α=1e-01 | Loss: 3.6820e-04 | BC: 1.4130e-04 | PDE: 2.2690e-03 | Val: 7.0069e-05 | Test: 1.1828e-03 | LR=4.6e-04
Epoch  55/100 | Steps:  55000 | α=1e-01 | Loss: 1.0017e-04 | BC: 3.8488e-05 | PDE: 6.1686e-04 | Val: 3.9435e-05 | Test: 9.2806e-04 | LR=4.4e-04
Epoch  56/100 | Steps:  56000 | α=1e-01 | Loss: 1.9321e-04 | BC: 7.2430e-05 | PDE: 1.2078e-03 | Val: 1.2466e-04 | Test: 1.4302e-03 | LR=4.3e-04
Epoch  57/100 | Steps:  57000 | α=1e-01 | Loss: 2.0046e-04 | BC: 7.1495e-05 | PDE: 1.2896e-03 | Val: 6.3466e-05 | Test: 1.0731e-03 | LR=4.1e-04
Epoch  58/100 | Steps:  58000 | α=1e-01 | Loss: 7.8719e-05 | BC: 3.0580e-05 | PDE: 4.8139e-04 | Val: 5.4040e-05 | Test: 9.7468e-04 | LR=4.0e-04
Epoch  59/100 | Steps:  59000 | α=1e-01 | Loss: 9.0295e-05 | BC: 3.3574e-05 | PDE: 5.6721e-04 | Val: 1.4149e-05 | Test: 8.2466e-04 | LR=3.8e-04
Epoch  60/100 | Steps:  60000 | α=1e-01 | Loss: 1.1673e-04 | BC: 4.3103e-05 | PDE: 7.3625e-04 | Val: 2.3643e-05 | Test: 9.0098e-04 | LR=3.7e-04
Epoch  61/100 | Steps:  61000 | α=1e-01 | Loss: 4.0579e-05 | BC: 1.4068e-05 | PDE: 2.6511e-04 | Val: 9.1016e-06 | Test: 8.1566e-04 | LR=3.5e-04
Epoch  62/100 | Steps:  62000 | α=1e-01 | Loss: 3.3398e-05 | BC: 1.2056e-05 | PDE: 2.1342e-04 | Val: 1.1157e-05 | Test: 8.0152e-04 | LR=3.4e-04
Epoch  63/100 | Steps:  63000 | α=1e-01 | Loss: 3.5198e-05 | BC: 1.2651e-05 | PDE: 2.2546e-04 | Val: 1.0239e-05 | Test: 7.8476e-04 | LR=3.2e-04
Epoch  64/100 | Steps:  64000 | α=1e-01 | Loss: 4.7191e-05 | BC: 1.6666e-05 | PDE: 3.0525e-04 | Val: 1.5517e-05 | Test: 8.5364e-04 | LR=3.1e-04
Epoch  65/100 | Steps:  65000 | α=1e-01 | Loss: 4.2080e-05 | BC: 1.4432e-05 | PDE: 2.7648e-04 | Val: 1.0847e-04 | Test: 1.1241e-03 | LR=2.9e-04
Epoch  66/100 | Steps:  66000 | α=1e-01 | Loss: 1.2734e-04 | BC: 4.7436e-05 | PDE: 7.9909e-04 | Val: 3.4674e-05 | Test: 9.7354e-04 | LR=2.8e-04
Epoch  67/100 | Steps:  67000 | α=1e-01 | Loss: 5.8590e-05 | BC: 2.3203e-05 | PDE: 3.5387e-04 | Val: 2.2135e-05 | Test: 8.4706e-04 | LR=2.7e-04
Epoch  68/100 | Steps:  68000 | α=1e-01 | Loss: 5.0988e-05 | BC: 2.0971e-05 | PDE: 3.0017e-04 | Val: 4.2667e-05 | Test: 9.4961e-04 | LR=2.5e-04
Epoch  69/100 | Steps:  69000 | α=1e-01 | Loss: 5.9092e-05 | BC: 2.0803e-05 | PDE: 3.8289e-04 | Val: 1.0802e-05 | Test: 7.9611e-04 | LR=2.4e-04
Epoch  70/100 | Steps:  70000 | α=1e-01 | Loss: 2.2803e-05 | BC: 8.5105e-06 | PDE: 1.4292e-04 | Val: 7.3378e-06 | Test: 7.7774e-04 | LR=2.3e-04 *
Epoch  71/100 | Steps:  71000 | α=1e-01 | Loss: 6.4324e-05 | BC: 2.4102e-05 | PDE: 4.0222e-04 | Val: 1.7269e-05 | Test: 8.4947e-04 | LR=2.1e-04
Epoch  72/100 | Steps:  72000 | α=1e-01 | Loss: 4.8058e-05 | BC: 1.9444e-05 | PDE: 2.8613e-04 | Val: 1.4642e-05 | Test: 8.3028e-04 | LR=2.0e-04
Epoch  73/100 | Steps:  73000 | α=1e-01 | Loss: 3.0145e-05 | BC: 1.0820e-05 | PDE: 1.9325e-04 | Val: 8.2071e-06 | Test: 7.9647e-04 | LR=1.9e-04
Epoch  74/100 | Steps:  74000 | α=1e-01 | Loss: 2.9176e-05 | BC: 1.0866e-05 | PDE: 1.8310e-04 | Val: 1.5884e-05 | Test: 8.2630e-04 | LR=1.8e-04
Epoch  75/100 | Steps:  75000 | α=1e-01 | Loss: 2.1181e-05 | BC: 7.6858e-06 | PDE: 1.3495e-04 | Val: 8.0777e-06 | Test: 7.7009e-04 | LR=1.7e-04
Epoch  76/100 | Steps:  76000 | α=1e-01 | Loss: 2.3447e-05 | BC: 8.1669e-06 | PDE: 1.5280e-04 | Val: 1.9682e-05 | Test: 7.7570e-04 | LR=1.5e-04
Epoch  77/100 | Steps:  77000 | α=1e-01 | Loss: 5.3209e-05 | BC: 2.0853e-05 | PDE: 3.2355e-04 | Val: 1.8119e-05 | Test: 8.0567e-04 | LR=1.4e-04
Epoch  78/100 | Steps:  78000 | α=1e-01 | Loss: 2.4901e-05 | BC: 9.6052e-06 | PDE: 1.5296e-04 | Val: 9.4356e-06 | Test: 7.8331e-04 | LR=1.3e-04
Epoch  79/100 | Steps:  79000 | α=1e-01 | Loss: 1.9348e-05 | BC: 7.3254e-06 | PDE: 1.2023e-04 | Val: 3.7713e-05 | Test: 7.2405e-04 | LR=1.2e-04
Epoch  80/100 | Steps:  80000 | α=1e-01 | Loss: 1.6240e-05 | BC: 5.0212e-06 | PDE: 1.1219e-04 | Val: 4.3391e-06 | Test: 7.4913e-04 | LR=1.1e-04 *
Epoch  81/100 | Steps:  81000 | α=1e-01 | Loss: 1.1966e-05 | BC: 3.8706e-06 | PDE: 8.0950e-05 | Val: 3.8726e-06 | Test: 7.4630e-04 | LR=1.0e-04 *
