
============================================================
Eikonal Equation |∇u|² = 1 (2D)
Case: origin | Domain: square
============================================================

  Interior: 1,000,000  |  Test: 10,000
  Boundary points: 1,100
  Re-sampling enabled: ~1,000,000 interior points per epoch
  BC re-sampling enabled: origin case with radius=0.1

  Splitting: 80% train, 20% val
  BC: 880 train, 220 val
  Interior: 800,000 train, 200,000 val

Model: EikonalPINN (input_dim=2)
  Hidden layers: [128, 128, 128, 128], activation: tanh
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Positivity weight: 1.0
  Parameters: 50,049

Training configuration:
  Boundary points (train): 880 -> 3 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 220
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  60/100 | Steps:  60000 | α=1e+01 | Loss: 3.8482e-05 | BC: 2.7035e-06 | PDE: 3.5778e-06 | Val: 3.0467e-06 | Test: 3.3959e-06 | LR=3.7e-04
Epoch  61/100 | Steps:  61000 | α=1e+01 | Loss: 4.5322e-05 | BC: 2.8203e-06 | PDE: 4.2501e-06 | Val: 3.2311e-06 | Test: 1.5117e-06 | LR=3.5e-04
Epoch  62/100 | Steps:  62000 | α=1e+01 | Loss: 3.3329e-05 | BC: 2.7396e-06 | PDE: 3.0590e-06 | Val: 2.1524e-06 | Test: 8.9187e-07 | LR=3.4e-04
Epoch  63/100 | Steps:  63000 | α=1e+01 | Loss: 3.2564e-05 | BC: 2.3374e-06 | PDE: 3.0227e-06 | Val: 3.5801e-06 | Test: 2.7432e-06 | LR=3.2e-04
Epoch  64/100 | Steps:  64000 | α=1e+01 | Loss: 3.1506e-05 | BC: 2.3588e-06 | PDE: 2.9147e-06 | Val: 2.3305e-06 | Test: 1.9830e-06 | LR=3.1e-04
Epoch  65/100 | Steps:  65000 | α=1e+01 | Loss: 2.5469e-05 | BC: 2.0625e-06 | PDE: 2.3406e-06 | Val: 1.3987e-06 | Test: 1.4051e-06 | LR=2.9e-04 *
Epoch  66/100 | Steps:  66000 | α=1e+01 | Loss: 2.5522e-05 | BC: 2.1883e-06 | PDE: 2.3334e-06 | Val: 1.5993e-06 | Test: 2.5218e-06 | LR=2.8e-04
Epoch  67/100 | Steps:  67000 | α=1e+01 | Loss: 2.2087e-05 | BC: 2.2144e-06 | PDE: 1.9872e-06 | Val: 3.1002e-06 | Test: 5.4331e-06 | LR=2.7e-04
Epoch  68/100 | Steps:  68000 | α=1e+01 | Loss: 2.1071e-05 | BC: 2.1217e-06 | PDE: 1.8950e-06 | Val: 2.0144e-06 | Test: 9.5605e-07 | LR=2.5e-04
Epoch  69/100 | Steps:  69000 | α=1e+01 | Loss: 1.9784e-05 | BC: 1.9262e-06 | PDE: 1.7858e-06 | Val: 3.3809e-06 | Test: 4.0101e-06 | LR=2.4e-04
Epoch  70/100 | Steps:  70000 | α=1e+01 | Loss: 1.5660e-05 | BC: 1.8913e-06 | PDE: 1.3769e-06 | Val: 1.4455e-06 | Test: 1.1433e-06 | LR=2.3e-04
Epoch  71/100 | Steps:  71000 | α=1e+01 | Loss: 1.6549e-05 | BC: 1.8991e-06 | PDE: 1.4650e-06 | Val: 1.3981e-06 | Test: 7.6848e-07 | LR=2.1e-04 *
Epoch  72/100 | Steps:  72000 | α=1e+01 | Loss: 1.3606e-05 | BC: 1.4707e-06 | PDE: 1.2135e-06 | Val: 1.4632e-06 | Test: 1.2134e-06 | LR=2.0e-04
Epoch  73/100 | Steps:  73000 | α=1e+01 | Loss: 1.1740e-05 | BC: 1.4179e-06 | PDE: 1.0322e-06 | Val: 1.4696e-06 | Test: 1.2261e-06 | LR=1.9e-04
Epoch  74/100 | Steps:  74000 | α=1e+01 | Loss: 1.1419e-05 | BC: 1.6542e-06 | PDE: 9.7653e-07 | Val: 1.2128e-06 | Test: 1.1126e-06 | LR=1.8e-04 *
Epoch  75/100 | Steps:  75000 | α=1e+01 | Loss: 9.6333e-06 | BC: 1.4231e-06 | PDE: 8.2102e-07 | Val: 1.4985e-06 | Test: 8.6432e-07 | LR=1.7e-04
Epoch  76/100 | Steps:  76000 | α=1e+01 | Loss: 8.6215e-06 | BC: 1.2572e-06 | PDE: 7.3643e-07 | Val: 1.4836e-06 | Test: 2.4903e-06 | LR=1.5e-04
Epoch  77/100 | Steps:  77000 | α=1e+01 | Loss: 7.3389e-06 | BC: 1.2821e-06 | PDE: 6.0569e-07 | Val: 1.5374e-06 | Test: 1.1644e-06 | LR=1.4e-04
Epoch  78/100 | Steps:  78000 | α=1e+01 | Loss: 7.3871e-06 | BC: 1.2453e-06 | PDE: 6.1418e-07 | Val: 1.3539e-06 | Test: 8.2811e-07 | LR=1.3e-04
Epoch  79/100 | Steps:  79000 | α=1e+01 | Loss: 6.0259e-06 | BC: 1.2885e-06 | PDE: 4.7374e-07 | Val: 1.3426e-06 | Test: 7.7498e-07 | LR=1.2e-04
Epoch  80/100 | Steps:  80000 | α=1e+01 | Loss: 5.5522e-06 | BC: 1.1758e-06 | PDE: 4.3765e-07 | Val: 1.1746e-06 | Test: 6.6563e-07 | LR=1.1e-04 *
Epoch  81/100 | Steps:  81000 | α=1e+01 | Loss: 5.1782e-06 | BC: 1.1028e-06 | PDE: 4.0754e-07 | Val: 1.0260e-06 | Test: 4.7354e-07 | LR=1.0e-04 *
Epoch  82/100 | Steps:  82000 | α=1e+01 | Loss: 4.6470e-06 | BC: 1.1501e-06 | PDE: 3.4969e-07 | Val: 1.4192e-06 | Test: 8.6777e-07 | LR=9.6e-05
Epoch  83/100 | Steps:  83000 | α=1e+01 | Loss: 3.8981e-06 | BC: 1.0214e-06 | PDE: 2.8767e-07 | Val: 9.4315e-07 | Test: 4.4621e-07 | LR=8.7e-05 *
Epoch  84/100 | Steps:  84000 | α=1e+01 | Loss: 3.8466e-06 | BC: 1.0265e-06 | PDE: 2.8201e-07 | Val: 1.0855e-06 | Test: 5.9990e-07 | LR=7.9e-05
Epoch  85/100 | Steps:  85000 | α=1e+01 | Loss: 3.4748e-06 | BC: 1.0978e-06 | PDE: 2.3770e-07 | Val: 9.1787e-07 | Test: 4.5783e-07 | LR=7.1e-05 *
Epoch  86/100 | Steps:  86000 | α=1e+01 | Loss: 2.9158e-06 | BC: 8.7877e-07 | PDE: 2.0371e-07 | Val: 9.5700e-07 | Test: 4.2190e-07 | LR=6.4e-05
Epoch  87/100 | Steps:  87000 | α=1e+01 | Loss: 2.8495e-06 | BC: 1.1355e-06 | PDE: 1.7141e-07 | Val: 9.8561e-07 | Test: 3.3106e-07 | LR=5.7e-05
Epoch  88/100 | Steps:  88000 | α=1e+01 | Loss: 2.7580e-06 | BC: 1.1442e-06 | PDE: 1.6139e-07 | Val: 1.0521e-06 | Test: 3.5893e-07 | LR=5.1e-05
Epoch  89/100 | Steps:  89000 | α=1e+01 | Loss: 2.3309e-06 | BC: 9.6597e-07 | PDE: 1.3649e-07 | Val: 8.6854e-07 | Test: 3.7393e-07 | LR=4.5e-05 *
Epoch  90/100 | Steps:  90000 | α=1e+01 | Loss: 2.2267e-06 | BC: 8.6232e-07 | PDE: 1.3644e-07 | Val: 8.1258e-07 | Test: 4.1954e-07 | LR=3.9e-05 *
Epoch  91/100 | Steps:  91000 | α=1e+01 | Loss: 2.1815e-06 | BC: 9.1935e-07 | PDE: 1.2621e-07 | Val: 1.0621e-06 | Test: 3.5771e-07 | LR=3.4e-05
Epoch  92/100 | Steps:  92000 | α=1e+01 | Loss: 2.1616e-06 | BC: 9.9380e-07 | PDE: 1.1678e-07 | Val: 8.8052e-07 | Test: 4.4245e-07 | LR=3.0e-05
Epoch  93/100 | Steps:  93000 | α=1e+01 | Loss: 2.0301e-06 | BC: 9.8973e-07 | PDE: 1.0404e-07 | Val: 8.8464e-07 | Test: 4.0669e-07 | LR=2.6e-05
Epoch  94/100 | Steps:  94000 | α=1e+01 | Loss: 1.9378e-06 | BC: 9.2246e-07 | PDE: 1.0154e-07 | Val: 8.9567e-07 | Test: 4.5359e-07 | LR=2.2e-05
Epoch  95/100 | Steps:  95000 | α=1e+01 | Loss: 1.8008e-06 | BC: 8.5153e-07 | PDE: 9.4926e-08 | Val: 8.5995e-07 | Test: 3.4406e-07 | LR=1.9e-05
Epoch  96/100 | Steps:  96000 | α=1e+01 | Loss: 1.8061e-06 | BC: 9.0211e-07 | PDE: 9.0398e-08 | Val: 8.4745e-07 | Test: 3.7331e-07 | LR=1.6e-05
Epoch  97/100 | Steps:  97000 | α=1e+01 | Loss: 1.7231e-06 | BC: 8.5392e-07 | PDE: 8.6920e-08 | Val: 8.5650e-07 | Test: 3.9248e-07 | LR=1.4e-05
Epoch  98/100 | Steps:  98000 | α=1e+01 | Loss: 1.6414e-06 | BC: 7.8663e-07 | PDE: 8.5473e-08 | Val: 8.0576e-07 | Test: 3.4379e-07 | LR=1.2e-05 *
Epoch  99/100 | Steps:  99000 | α=1e+01 | Loss: 1.6281e-06 | BC: 7.8829e-07 | PDE: 8.3980e-08 | Val: 7.7940e-07 | Test: 2.9846e-07 | LR=1.1e-05 *
Epoch 100/100 | Steps: 100000 | α=1e+01 | Loss: 1.6496e-06 | BC: 8.4765e-07 | PDE: 8.0191e-08 | Val: 8.7733e-07 | Test: 3.0481e-07 | LR=1.0e-05

Restored best model from epoch 99 (val_loss: 7.7940e-07, test_loss: 2.9846e-07)
Best checkpoint saved to: outputs/expr_6_4_eikonal/eikonal_origin_square/checkpoints/best_model.pt
Final checkpoint saved to: outputs/expr_6_4_eikonal/eikonal_origin_square/checkpoints/final_model.pt
Training completed in 695.03s (100,000 total steps)

Final Test MSE: 3.0481e-07
Inference (per point): 7.9536e-05s | (full domain): 7.9365e-05s
Saved .npz files to outputs/expr_6_4_eikonal/eikonal_origin_square/npy/
Saved plot to outputs/expr_6_4_eikonal/eikonal_origin_square/plots/results.png
