
============================================================
Running Example: aronsson_disc
============================================================

Generated full disc domain data:
  Boundary points: 10,000
  Interior points: 783,764
  Test points: 7,668
Re-sampling enabled: ~783,764 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 8,000 train, 2,000 val
  Interior: 627,011 train, 156,753 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 33,537

Training configuration:
  Boundary points (train): 8,000 -> 20 batches of 400
  Interior points (train): 783,764 -> 784 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 2,000
  Validation loss: BC only
  Steps per epoch: 784
  Total steps: 78,400
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  44/100 | Steps:  34496 | α=1e-03 | Loss: 2.3972e-05 | BC: 1.1484e-05 | PDE: 1.2488e-02 | Val: 2.3690e-05 | Test: 2.4839e-05 | LR=6.1e-04
Epoch  45/100 | Steps:  35280 | α=1e-03 | Loss: 2.5814e-05 | BC: 1.4203e-05 | PDE: 1.1611e-02 | Val: 8.2569e-06 | Test: 7.6356e-06 | LR=6.0e-04
Epoch  46/100 | Steps:  36064 | α=1e-03 | Loss: 2.2593e-05 | BC: 1.1743e-05 | PDE: 1.0850e-02 | Val: 8.5816e-07 | Test: 3.0511e-06 | LR=5.8e-04 *

>>> Alpha increased: 1e-03 → 1e-02 (BC=8.9968e-06) <<<
Epoch  47/100 | Steps:  36848 | α=1e-02 | Loss: 1.9131e-05 | BC: 8.9968e-06 | PDE: 1.0134e-02 | Val: 7.4568e-06 | Test: 8.1845e-06 | LR=5.7e-04 *
Epoch  48/100 | Steps:  37632 | α=1e-02 | Loss: 1.1730e-04 | BC: 2.1510e-05 | PDE: 9.5789e-03 | Val: 3.1412e-06 | Test: 4.5901e-06 | LR=5.5e-04 *
Epoch  49/100 | Steps:  38416 | α=1e-02 | Loss: 9.7487e-05 | BC: 1.8390e-05 | PDE: 7.9097e-03 | Val: 4.7307e-06 | Test: 5.7173e-06 | LR=5.4e-04
Epoch  50/100 | Steps:  39200 | α=1e-02 | Loss: 7.7155e-05 | BC: 1.1983e-05 | PDE: 6.5172e-03 | Val: 6.1556e-06 | Test: 5.3882e-06 | LR=5.2e-04
Epoch  51/100 | Steps:  39984 | α=1e-02 | Loss: 7.0954e-05 | BC: 1.3653e-05 | PDE: 5.7301e-03 | Val: 6.9091e-06 | Test: 5.9516e-06 | LR=5.1e-04
Epoch  52/100 | Steps:  40768 | α=1e-02 | Loss: 7.3362e-05 | BC: 1.8675e-05 | PDE: 5.4687e-03 | Val: 3.0837e-06 | Test: 5.2300e-06 | LR=4.9e-04 *
Epoch  53/100 | Steps:  41552 | α=1e-02 | Loss: 5.7793e-05 | BC: 1.3315e-05 | PDE: 4.4478e-03 | Val: 7.4355e-06 | Test: 7.0767e-06 | LR=4.7e-04
Epoch  54/100 | Steps:  42336 | α=1e-02 | Loss: 4.5254e-05 | BC: 7.7393e-06 | PDE: 3.7514e-03 | Val: 1.1274e-05 | Test: 1.3607e-05 | LR=4.6e-04
Epoch  55/100 | Steps:  43120 | α=1e-02 | Loss: 4.1611e-05 | BC: 9.6636e-06 | PDE: 3.1947e-03 | Val: 4.2134e-06 | Test: 4.6642e-06 | LR=4.4e-04
Epoch  56/100 | Steps:  43904 | α=1e-02 | Loss: 3.7190e-05 | BC: 7.9021e-06 | PDE: 2.9288e-03 | Val: 2.3908e-06 | Test: 4.1966e-06 | LR=4.3e-04 *
Epoch  57/100 | Steps:  44688 | α=1e-02 | Loss: 3.7685e-05 | BC: 9.5441e-06 | PDE: 2.8141e-03 | Val: 1.9788e-06 | Test: 3.9749e-06 | LR=4.1e-04 *
Epoch  58/100 | Steps:  45472 | α=1e-02 | Loss: 3.2297e-05 | BC: 8.1518e-06 | PDE: 2.4145e-03 | Val: 5.6664e-06 | Test: 4.3904e-06 | LR=4.0e-04
Epoch  59/100 | Steps:  46256 | α=1e-02 | Loss: 2.7219e-05 | BC: 6.0380e-06 | PDE: 2.1181e-03 | Val: 9.3250e-07 | Test: 5.5955e-06 | LR=3.8e-04 *
Epoch  60/100 | Steps:  47040 | α=1e-02 | Loss: 2.5124e-05 | BC: 6.0160e-06 | PDE: 1.9108e-03 | Val: 7.5026e-06 | Test: 4.5707e-06 | LR=3.7e-04
Epoch  61/100 | Steps:  47824 | α=1e-02 | Loss: 2.4936e-05 | BC: 6.5707e-06 | PDE: 1.8365e-03 | Val: 4.1906e-06 | Test: 4.3110e-06 | LR=3.5e-04
Epoch  62/100 | Steps:  48608 | α=1e-02 | Loss: 2.1368e-05 | BC: 5.5359e-06 | PDE: 1.5832e-03 | Val: 4.2809e-06 | Test: 3.5668e-06 | LR=3.4e-04
