
============================================================
Running Example: aronsson_disc
============================================================

Generated full disc domain data:
  Boundary points: 10,000
  Interior points: 783,764
  Test points: 7,668
Re-sampling enabled: ~783,764 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 8,000 train, 2,000 val
  Interior: 627,011 train, 156,753 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Parameters: 50,049

Training configuration:
  Boundary points (train): 8,000 -> 20 batches of 400
  Interior points (train): 783,764 -> 784 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 2,000
  Validation loss: BC only
  Steps per epoch: 784
  Total steps: 78,400
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  75/100 | Steps:  58800 | α=1e-01 | Loss: 3.0406e-03 | BC: 8.4956e-05 | PDE: 2.9556e-02 | Val: 1.1743e-04 | Test: 1.0605e-04 | LR=1.7e-04
Epoch  76/100 | Steps:  59584 | α=1e-01 | Loss: 3.1043e-03 | BC: 9.3659e-05 | PDE: 3.0106e-02 | Val: 1.8167e-04 | Test: 5.5435e-04 | LR=1.5e-04
Epoch  77/100 | Steps:  60368 | α=1e-01 | Loss: 3.4444e-03 | BC: 3.1467e-04 | PDE: 3.1298e-02 | Val: 2.7980e-04 | Test: 7.5634e-04 | LR=1.4e-04
Epoch  78/100 | Steps:  61152 | α=1e-01 | Loss: 3.0029e-03 | BC: 2.4316e-04 | PDE: 2.7597e-02 | Val: 5.9729e-05 | Test: 1.0658e-04 | LR=1.3e-04
Epoch  79/100 | Steps:  61936 | α=1e-01 | Loss: 3.0626e-03 | BC: 1.1654e-04 | PDE: 2.9461e-02 | Val: 2.1989e-04 | Test: 3.7597e-04 | LR=1.2e-04
Epoch  80/100 | Steps:  62720 | α=1e-01 | Loss: 2.5016e-03 | BC: 9.9683e-05 | PDE: 2.4020e-02 | Val: 6.3513e-05 | Test: 8.6536e-05 | LR=1.1e-04
Epoch  81/100 | Steps:  63504 | α=1e-01 | Loss: 2.7808e-03 | BC: 1.2594e-04 | PDE: 2.6548e-02 | Val: 2.1064e-04 | Test: 4.9275e-04 | LR=1.0e-04
Epoch  82/100 | Steps:  64288 | α=1e-01 | Loss: 2.7672e-03 | BC: 2.0473e-04 | PDE: 2.5624e-02 | Val: 4.6647e-04 | Test: 1.0047e-03 | LR=9.6e-05
Epoch  83/100 | Steps:  65072 | α=1e-01 | Loss: 2.8392e-03 | BC: 3.2568e-04 | PDE: 2.5135e-02 | Val: 3.9603e-04 | Test: 1.0682e-03 | LR=8.7e-05
Epoch  84/100 | Steps:  65856 | α=1e-01 | Loss: 2.8594e-03 | BC: 4.2476e-04 | PDE: 2.4346e-02 | Val: 4.0613e-04 | Test: 1.0331e-03 | LR=7.9e-05
Epoch  85/100 | Steps:  66640 | α=1e-01 | Loss: 2.7145e-03 | BC: 3.3154e-04 | PDE: 2.3830e-02 | Val: 2.1206e-04 | Test: 5.3431e-04 | LR=7.1e-05
