
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: DomainDecompositionPINN
  Hidden layers: [32, 32, 32, 32]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 13,188

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: None (constant LR=1.0e-03)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  80/100 | Steps:  80000 | α=1e-01 | Loss: 4.6118e-04 | BC: 1.6068e-04 | PDE: 1.3103e-03 | Intf: 1.6947e-04 | Val: 3.7028e-04 | Test: 3.1494e-04 | 
Epoch  81/100 | Steps:  81000 | α=1e-01 | Loss: 5.7316e-04 | BC: 2.3220e-04 | PDE: 1.3029e-03 | Intf: 2.1066e-04 | Val: 1.5586e-04 | Test: 8.6376e-05 | 
Epoch  82/100 | Steps:  82000 | α=1e-01 | Loss: 5.8321e-04 | BC: 2.4119e-04 | PDE: 1.2822e-03 | Intf: 2.1380e-04 | Val: 3.1945e-04 | Test: 1.9302e-04 | 
Epoch  83/100 | Steps:  83000 | α=1e-01 | Loss: 4.9040e-04 | BC: 1.7618e-04 | PDE: 1.2726e-03 | Intf: 1.8696e-04 | Val: 1.7254e-03 | Test: 1.3854e-03 | 
Epoch  84/100 | Steps:  84000 | α=1e-01 | Loss: 4.3525e-04 | BC: 1.4712e-04 | PDE: 1.2857e-03 | Intf: 1.5956e-04 | Val: 6.8342e-05 | Test: 4.7593e-05 | 
Epoch  85/100 | Steps:  85000 | α=1e-01 | Loss: 6.0692e-04 | BC: 2.4526e-04 | PDE: 1.2802e-03 | Intf: 2.3363e-04 | Val: 2.3469e-05 | Test: 1.4177e-05 | 
Epoch  86/100 | Steps:  86000 | α=1e-01 | Loss: 4.3035e-04 | BC: 1.4366e-04 | PDE: 1.2868e-03 | Intf: 1.5801e-04 | Val: 2.0167e-05 | Test: 1.5958e-05 | 
Epoch  87/100 | Steps:  87000 | α=1e-01 | Loss: 5.3660e-04 | BC: 2.0220e-04 | PDE: 1.2782e-03 | Intf: 2.0658e-04 | Val: 1.4561e-03 | Test: 1.2345e-03 | 
Epoch  88/100 | Steps:  88000 | α=1e-01 | Loss: 5.0675e-04 | BC: 1.8821e-04 | PDE: 1.2304e-03 | Intf: 1.9551e-04 | Val: 1.2631e-03 | Test: 1.1428e-03 | 
Epoch  89/100 | Steps:  89000 | α=1e-01 | Loss: 4.7999e-04 | BC: 1.7135e-04 | PDE: 1.2451e-03 | Intf: 1.8414e-04 | Val: 1.3997e-03 | Test: 1.1956e-03 | 
Epoch  90/100 | Steps:  90000 | α=1e-01 | Loss: 4.4574e-04 | BC: 1.5067e-04 | PDE: 1.2632e-03 | Intf: 1.6875e-04 | Val: 7.7310e-05 | Test: 4.5200e-05 | 
Epoch  91/100 | Steps:  91000 | α=1e-01 | Loss: 5.9912e-04 | BC: 2.3484e-04 | PDE: 1.3616e-03 | Intf: 2.2812e-04 | Val: 1.3471e-03 | Test: 1.0921e-03 | 
Epoch  92/100 | Steps:  92000 | α=1e-01 | Loss: 4.7794e-04 | BC: 1.7909e-04 | PDE: 1.2331e-03 | Intf: 1.7553e-04 | Val: 3.1493e-06 | Test: 2.6827e-06 |  *
Epoch  93/100 | Steps:  93000 | α=1e-01 | Loss: 4.6758e-04 | BC: 1.7970e-04 | PDE: 1.2508e-03 | Intf: 1.6280e-04 | Val: 8.6811e-04 | Test: 7.5169e-04 | 
Epoch  94/100 | Steps:  94000 | α=1e-01 | Loss: 4.8308e-04 | BC: 1.6561e-04 | PDE: 1.2176e-03 | Intf: 1.9572e-04 | Val: 1.4852e-03 | Test: 1.2350e-03 | 
Epoch  95/100 | Steps:  95000 | α=1e-01 | Loss: 5.5885e-04 | BC: 2.2443e-04 | PDE: 1.3581e-03 | Intf: 1.9861e-04 | Val: 7.5022e-04 | Test: 6.4217e-04 | 
Epoch  96/100 | Steps:  96000 | α=1e-01 | Loss: 4.6486e-04 | BC: 1.5791e-04 | PDE: 1.2440e-03 | Intf: 1.8255e-04 | Val: 1.9687e-05 | Test: 1.4634e-05 | 
Epoch  97/100 | Steps:  97000 | α=1e-01 | Loss: 5.5935e-04 | BC: 2.1922e-04 | PDE: 1.2392e-03 | Intf: 2.1622e-04 | Val: 3.0322e-06 | Test: 1.7583e-06 |  *
Epoch  98/100 | Steps:  98000 | α=1e-01 | Loss: 4.2508e-04 | BC: 1.4911e-04 | PDE: 1.2515e-03 | Intf: 1.5082e-04 | Val: 3.4595e-05 | Test: 2.4564e-05 | 
Epoch  99/100 | Steps:  99000 | α=1e-01 | Loss: 6.3611e-04 | BC: 2.6963e-04 | PDE: 1.3875e-03 | Intf: 2.2773e-04 | Val: 1.1324e-06 | Test: 7.5641e-07 |  *
Epoch 100/100 | Steps: 100000 | α=1e-01 | Loss: 4.2824e-04 | BC: 1.4234e-04 | PDE: 1.2232e-03 | Intf: 1.6358e-04 | Val: 8.2440e-05 | Test: 6.8409e-05 | 

Restored best model from epoch 99 (val_loss: 1.1324e-06, test_loss: 7.5641e-07)
Best checkpoint saved to: outputs/expr_7_1/absolute_dd/nosched/checkpoints/best_model.pt
Final checkpoint saved to: outputs/expr_7_1/absolute_dd/nosched/checkpoints/final_model.pt
Training completed in 3461.46s (100,000 total steps)

Final Test MSE: 6.8409e-05
Inference (per point): 5.0951e-04s | (full domain): 1.2739e-03s
Saved plot to outputs/expr_7_1/absolute_dd/nosched/plots/results.png
