
============================================================
Running Example: aronsson_square
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: FixedAlphaSchedule
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  45/100 | Steps:  45000 | α=0e+00 | Loss: 7.1208e-06 | BC: 7.1208e-06 | PDE: 2.2205e+01 | Val: 8.4801e-06 | Test: 4.0136e-02 | LR=6.0e-04
Epoch  46/100 | Steps:  46000 | α=0e+00 | Loss: 1.1269e-05 | BC: 1.1269e-05 | PDE: 2.2408e+01 | Val: 1.2831e-06 | Test: 4.0453e-02 | LR=5.8e-04
Epoch  47/100 | Steps:  47000 | α=0e+00 | Loss: 7.5167e-06 | BC: 7.5167e-06 | PDE: 2.2813e+01 | Val: 1.2969e-06 | Test: 4.1341e-02 | LR=5.7e-04
Epoch  48/100 | Steps:  48000 | α=0e+00 | Loss: 4.8936e-06 | BC: 4.8936e-06 | PDE: 2.3199e+01 | Val: 1.0728e-06 | Test: 4.2074e-02 | LR=5.5e-04
Epoch  49/100 | Steps:  49000 | α=0e+00 | Loss: 6.1667e-06 | BC: 6.1667e-06 | PDE: 2.3474e+01 | Val: 7.0476e-07 | Test: 4.1966e-02 | LR=5.4e-04 *
Epoch  50/100 | Steps:  50000 | α=0e+00 | Loss: 5.2488e-06 | BC: 5.2488e-06 | PDE: 2.3633e+01 | Val: 3.4034e-06 | Test: 4.2649e-02 | LR=5.2e-04
Epoch  51/100 | Steps:  51000 | α=0e+00 | Loss: 5.8057e-06 | BC: 5.8057e-06 | PDE: 2.4005e+01 | Val: 6.6507e-06 | Test: 4.3165e-02 | LR=5.1e-04
Epoch  52/100 | Steps:  52000 | α=0e+00 | Loss: 3.5876e-06 | BC: 3.5876e-06 | PDE: 2.4212e+01 | Val: 4.1298e-06 | Test: 4.3499e-02 | LR=4.9e-04
Epoch  53/100 | Steps:  53000 | α=0e+00 | Loss: 4.7377e-06 | BC: 4.7377e-06 | PDE: 2.4539e+01 | Val: 6.8244e-07 | Test: 4.3894e-02 | LR=4.7e-04 *
Epoch  54/100 | Steps:  54000 | α=0e+00 | Loss: 4.4993e-06 | BC: 4.4993e-06 | PDE: 2.4836e+01 | Val: 3.3652e-05 | Test: 4.4692e-02 | LR=4.6e-04
Epoch  55/100 | Steps:  55000 | α=0e+00 | Loss: 4.3433e-06 | BC: 4.3433e-06 | PDE: 2.4910e+01 | Val: 7.5665e-07 | Test: 4.4739e-02 | LR=4.4e-04
Epoch  56/100 | Steps:  56000 | α=0e+00 | Loss: 3.9335e-06 | BC: 3.9335e-06 | PDE: 2.5243e+01 | Val: 3.8275e-07 | Test: 4.4893e-02 | LR=4.3e-04 *
Epoch  57/100 | Steps:  57000 | α=0e+00 | Loss: 2.8935e-06 | BC: 2.8935e-06 | PDE: 2.5300e+01 | Val: 9.2074e-06 | Test: 4.5034e-02 | LR=4.1e-04
Epoch  58/100 | Steps:  58000 | α=0e+00 | Loss: 4.1824e-06 | BC: 4.1824e-06 | PDE: 2.5473e+01 | Val: 2.8671e-07 | Test: 4.5358e-02 | LR=4.0e-04 *
Epoch  59/100 | Steps:  59000 | α=0e+00 | Loss: 2.2986e-06 | BC: 2.2986e-06 | PDE: 2.5627e+01 | Val: 1.3623e-06 | Test: 4.5684e-02 | LR=3.8e-04
Epoch  60/100 | Steps:  60000 | α=0e+00 | Loss: 3.2654e-06 | BC: 3.2654e-06 | PDE: 2.5739e+01 | Val: 6.5760e-06 | Test: 4.5769e-02 | LR=3.7e-04
Epoch  61/100 | Steps:  61000 | α=0e+00 | Loss: 2.2252e-06 | BC: 2.2252e-06 | PDE: 2.5867e+01 | Val: 4.5893e-06 | Test: 4.6033e-02 | LR=3.5e-04
Epoch  62/100 | Steps:  62000 | α=0e+00 | Loss: 2.2797e-06 | BC: 2.2797e-06 | PDE: 2.5956e+01 | Val: 5.2411e-07 | Test: 4.6238e-02 | LR=3.4e-04
Epoch  63/100 | Steps:  63000 | α=0e+00 | Loss: 2.0633e-06 | BC: 2.0633e-06 | PDE: 2.6079e+01 | Val: 1.2434e-06 | Test: 4.6376e-02 | LR=3.2e-04
Epoch  64/100 | Steps:  64000 | α=0e+00 | Loss: 2.4536e-06 | BC: 2.4536e-06 | PDE: 2.6154e+01 | Val: 2.5764e-06 | Test: 4.6508e-02 | LR=3.1e-04
Epoch  65/100 | Steps:  65000 | α=0e+00 | Loss: 1.4606e-06 | BC: 1.4606e-06 | PDE: 2.6288e+01 | Val: 1.3837e-06 | Test: 4.6936e-02 | LR=2.9e-04
Epoch  66/100 | Steps:  66000 | α=0e+00 | Loss: 1.2501e-06 | BC: 1.2501e-06 | PDE: 2.6347e+01 | Val: 4.8183e-07 | Test: 4.7009e-02 | LR=2.8e-04
Epoch  67/100 | Steps:  67000 | α=0e+00 | Loss: 1.4105e-06 | BC: 1.4105e-06 | PDE: 2.6476e+01 | Val: 6.8024e-07 | Test: 4.7075e-02 | LR=2.7e-04
Epoch  68/100 | Steps:  68000 | α=0e+00 | Loss: 1.3071e-06 | BC: 1.3071e-06 | PDE: 2.6531e+01 | Val: 2.2095e-06 | Test: 4.7325e-02 | LR=2.5e-04
Epoch  69/100 | Steps:  69000 | α=0e+00 | Loss: 1.2297e-06 | BC: 1.2297e-06 | PDE: 2.6584e+01 | Val: 4.0955e-07 | Test: 4.7431e-02 | LR=2.4e-04
Epoch  70/100 | Steps:  70000 | α=0e+00 | Loss: 1.1233e-06 | BC: 1.1233e-06 | PDE: 2.6622e+01 | Val: 3.0836e-06 | Test: 4.7525e-02 | LR=2.3e-04
Epoch  71/100 | Steps:  71000 | α=0e+00 | Loss: 9.2350e-07 | BC: 9.2350e-07 | PDE: 2.6667e+01 | Val: 2.8432e-07 | Test: 4.7516e-02 | LR=2.1e-04 *
Epoch  72/100 | Steps:  72000 | α=0e+00 | Loss: 8.2812e-07 | BC: 8.2812e-07 | PDE: 2.6741e+01 | Val: 7.1247e-07 | Test: 4.7584e-02 | LR=2.0e-04
Epoch  73/100 | Steps:  73000 | α=0e+00 | Loss: 8.6307e-07 | BC: 8.6307e-07 | PDE: 2.6775e+01 | Val: 7.4229e-07 | Test: 4.7765e-02 | LR=1.9e-04
