p,is_training_p,mse_exact,relative_l2_exact,max_abs_exact,boundary_mse,mse_limit,exact_to_limit_mse
119.0,0,9.146487656153113e-08,0.0007473683799616992,0.01771223545074463,1.4331733666494983e-07,1.4961774468247313e-05,1.501276892668102e-05
120.0,1,9.152535795919903e-08,0.0007475563324987888,0.01771944761276245,1.435201681942999e-07,1.4716017176397145e-05,1.476268698752392e-05
121.0,0,9.158395641861716e-08,0.0007477376493625343,0.017726600170135498,1.43736272661954e-07,1.447686918254476e-05,1.4519204341922887e-05
122.0,0,9.164070036149496e-08,0.0007479121559299529,0.017733991146087646,1.4395291714208724e-07,1.424382298864657e-05,1.4281484254752286e-05
123.0,0,9.169475845283159e-08,0.0007480765343643725,0.017741501331329346,1.4416045246434805e-07,1.401682948198868e-05,1.4049418496142607e-05
124.0,0,9.174856074878335e-08,0.0007482407381758094,0.017749011516571045,1.4438330708799185e-07,1.3795567610941362e-05,1.3823086192132905e-05
125.0,1,9.180377702477927e-08,0.0007484114612452686,0.017756521701812744,1.445979904701744e-07,1.3579280675912742e-05,1.360227724944707e-05
126.0,0,9.185485794205306e-08,0.0007485660607926548,0.017763912677764893,1.4480507104508433e-07,1.3368526197155006e-05,1.3386478713073302e-05
127.0,0,9.190915761791985e-08,0.0007487346301786602,0.017771601676940918,1.4501628697871638e-07,1.3162845789338462e-05,1.3176009815651923e-05
128.0,0,9.196073591510867e-08,0.000748892838601023,0.017778873443603516,1.4525073765980778e-07,1.2961488209839445e-05,1.2970418538316153e-05
129.0,0,9.201033179806473e-08,0.0007490436546504498,0.01778644323348999,1.454528586464221e-07,1.2765338397002779e-05,1.2769459317496512e-05
130.0,1,9.206100060055178e-08,0.0007491995929740369,0.01779407262802124,1.4566185768671858e-07,1.2573734238685574e-05,1.2573232197610196e-05
131.0,0,9.211042595325125e-08,0.0007493511657230556,0.017801940441131592,1.458706151424849e-07,1.2386862181301694e-05,1.2381520718918182e-05
132.0,0,9.216148555424297e-08,0.0007495100726373494,0.017809510231018066,1.46069353945677e-07,1.2203648111608345e-05,1.2194238479423802e-05
133.0,0,9.220772057005888e-08,0.0007496499456465244,0.01781708002090454,1.462749139591324e-07,1.2025026080664247e-05,1.201097165903775e-05
134.0,0,9.225754382669038e-08,0.0007498051854781806,0.017824947834014893,1.4646344936863898e-07,1.1850443115690723e-05,1.1832007658085786e-05
135.0,1,9.230403463789116e-08,0.0007499473285861313,0.017832696437835693,1.4665634751054313e-07,1.1679780982376542e-05,1.1656779861368705e-05
